Name,RA(2000),DEC(2000),redsh,Vmag,Radio Fl,X Fl(mJ,Class
MARK 1320,12 19 08.8,-01 48 29,0.103,14.4,0.,0.000,Seyfert type 1
Q 1216-1103,12 19 11.3,-11 20 20,0.064,18.0,0.,0.000,Galaxy unbarred
Q 1216-1108,12 19 12.0,-11 25 24,0.439,18.5,0.,0.000,QSO radio quiet
1Jy1216+487,12 19 06.3,48 29 55,1.076,18.5,1080.,0.000,QSO radio loud flat
S41216+487,12 19 06.3,48 29 55,1.076,18.5,1080.,0.000,QSO radio loud flat
Q 1216-1104,12 19 13.4,-11 21 30,1.538,19.4,0.,0.000,QSO radio quiet
ON 428,12 19 06.5,48 29 55,1.076,18.2,1080.,0.000,QSO radio loud flat
Q 1216-1104A,12 19 14.6,-11 21 34,0.040,0.0,0.,0.000,Galaxy unbarred
Q 1216-1104B,12 19 14.7,-11 21 37,0.040,14.5,0.,0.000,Galaxy unbarred
PG 1216+069,12 19 20.9,06 38 38,0.334,15.1,4.,0.365,Seyfert type 1
Q 1216+1656,12 19 20.4,16 39 29,2.818,18.3,0.,0.000,QSO radio quiet
1Jy1216+061,12 19 23.1,05 49 29,0.007,10.4,9065.,0.084,Radio Galaxy radio l
3C270,12 19 23.1,05 49 29,0.007,10.4,9065.,0.084,Radio Galaxy radio l
Q 1216-1048,12 19 25.7,-11 04 46,1.505,20.6,0.,0.000,QSO radio quiet
Q 1216+0947,12 19 26.7,09 31 03,2.306,18.5,0.,0.000,QSO radio quiet
2E 1217+6930,12 19 17.5,69 14 51,0.627,17.0,0.,0.020,QSO radio quiet
MS 12170+0700,12 19 30.9,06 43 34,0.080,16.3,0.,0.002,Seyfert type 1
Q 1216+1103,12 19 30.9,10 47 01,1.620,18.2,0.,0.000,QSO radio quiet
Q 1216+4753,12 19 26.6,47 37 11,0.183,20.3,0.,0.000,Galaxy unbarred
R10.08,12 19 35.0,-13 57 15,0.070,16.0,0.,0.414,Seyfert type 1
Q 1217+1509,12 19 46.5,14 52 59,0.402,18.3,0.,0.000,QSO radio quiet
SBS 1217+544,12 19 43.6,54 08 35,1.656,18.2,0.,0.000,QSO radio loud
ESO 380-IG15,12 19 57.5,-35 58 07,0.058,16.0,130.,0.000,Seyfert type 2
Q J1219+473,12 19 52.1,47 20 59,0.654,19.1,0.,0.000,QSO radio quiet
MS 12174+7549,12 19 38.7,75 32 29,0.464,18.7,0.,0.055,QSO radio quiet
SBS 1217+560,12 19 53.0,55 45 07,0.108,17.6,0.,0.000,Seyfert type 2
Q 1217+085,12 20 04.8,08 14 02,2.160,0.0,0.,0.000,QSO
NGC 4278,12 20 06.9,29 16 51,0.002,10.9,480.,0.180,Seyfert type 1
GB2 1217+348,12 20 08.3,34 31 21,0.000,17.1,160.,0.022,BL Lac
PKS 1217+02,12 20 11.9,02 03 42,0.240,16.5,470.,1.036,QSO radio loud flat
Q 1217+4750,12 20 07.8,47 33 47,0.067,18.9,0.,0.000,Galaxy unbarred
Q 1217+1236,12 20 14.1,12 20 20,1.047,18.2,0.,0.000,QSO radio quiet
SBS 1217+566,12 20 08.5,56 21 15,1.362,19.2,0.,0.000,QSO radio quiet
S51217+713,12 20 03.6,71 05 30,0.451,20.0,304.,0.000,QSO radio loud flat
S5 1217+46,12 20 03.7,71 05 31,0.451,19.5,304.,0.000,QSO radio loud flat
Q 1217-1046,12 20 24.5,-11 02 56,1.401,20.8,0.,0.000,QSO radio quiet
J09.07,12 20 25.9,-20 52 23,0.330,17.9,0.,0.000,QSO radio quiet
Q 1217+1005,12 20 31.7,09 48 54,0.995,18.0,0.,0.000,QSO radio quiet
Q 1217-1055,12 20 34.1,-11 12 02,2.092,19.6,0.,0.000,QSO radio quiet
Q 1218-1102,12 20 35.5,-11 18 50,2.192,20.1,0.,0.000,QSO radio quiet
3C 270.1,12 20 33.9,33 43 12,1.519,18.6,870.,0.040,QSO radio loud steep
Q 1218+1734,12 20 39.4,17 18 20,0.444,17.4,51.,0.000,QSO radio loud
2E 1218+6922,12 20 38.3,69 05 04,0.110,17.1,0.,0.180,Seyfert type 1
Q 1218-1113,12 20 56.5,-11 30 25,1.994,21.1,0.,0.000,QSO radio quiet
Q 1218+4640,12 20 54.6,46 24 18,0.123,19.0,0.,0.000,Galaxy unbarred
Q 1218+1611,12 21 02.5,15 54 47,0.231,17.5,0.,0.076,QSO radio quiet
Q 1218-1048,12 21 10.3,-11 05 18,2.241,20.0,0.,0.000,QSO radio quiet
MS 12186+7522,12 20 51.2,75 05 31,0.645,18.2,0.,0.051,QSO radio quiet
PKS 1218-024,12 21 23.8,-02 41 48,0.665,19.7,440.,0.000,Radio Galaxy radio l
PG 1218+304,12 21 22.0,30 10 37,0.130,16.4,56.,7.471,BL Lac
1H 1219+301,12 21 22.0,30 10 37,0.130,16.4,56.,7.471,BL Lac
1H 1219+301,12 21 22.0,30 10 37,0.130,16.4,56.,7.471,BL Lac
EXO1218.8+3027,12 21 22.0,30 10 37,0.130,16.4,56.,7.471,BL Lac
ON 231,12 21 31.7,28 13 58,0.102,16.5,981.,0.257,BL Lac
2E 1219+0447,12 21 37.9,04 30 26,0.094,16.8,0.,0.013,Seyfert type 1
MS 12190+7528,12 21 16.1,75 12 11,1.259,19.8,0.,0.004,QSO radio quiet
Q 1219+1140,12 21 42.8,11 24 13,2.178,18.2,0.,0.000,QSO radio quiet
Q 1219-1052,12 21 46.7,-11 09 02,2.467,19.3,0.,0.000,QSO radio quiet
Q 1219+1605,12 21 46.2,15 49 14,1.868,18.1,0.,0.000,QSO radio quiet
Q 1219-1110A,12 21 54.0,-11 27 14,0.310,19.0,0.,0.000,Galaxy unbarred
Q 1219+113,12 21 52.1,11 02 24,1.870,18.7,0.,0.010,QSO radio quiet
NGC 4303,12 21 54.9,04 28 25,0.005,12.6,157.,0.046,Starburst galaxy
Q 1219-1100B,12 22 01.2,-11 17 34,0.000,20.5,0.,0.000,QSO radio quiet
Q 1219+4643A,12 21 54.1,46 26 38,2.610,19.0,0.,0.000,QSO radio quiet
Q 1219-1112,12 22 03.6,-11 28 50,1.895,20.4,0.,0.000,QSO radio quiet
Q 1219-1113,12 22 06.2,-11 30 13,2.194,19.3,0.,0.000,QSO radio quiet
UM 493,12 22 06.5,-01 06 38,0.000,16.4,0.,0.000,BL Lac
MARK  205,12 21 44.1,75 18 38,0.070,15.2,1.,1.669,Seyfert type 1
Q 1219+4638A,12 22 07.8,46 22 07,0.185,18.7,0.,0.000,Galaxy unbarred
SBS 1219+542,12 22 07.2,53 57 24,2.193,17.7,0.,0.000,QSO radio quiet
Q 1219+4638B,12 22 09.7,46 21 55,0.185,18.7,0.,0.000,Galaxy unbarred
Q 1219+4640,12 22 10.4,46 24 00,0.083,17.8,0.,0.000,Galaxy unbarred
Q 1219+4643B,12 22 10.6,46 26 34,0.084,18.0,0.,0.000,Galaxy unbarred
PKS 1219+04,12 22 22.5,04 13 16,0.965,18.0,930.,0.311,QSO radio loud flat
Q 1219+1244,12 22 21.7,12 28 20,1.309,18.4,0.,0.000,QSO radio quiet
Q 1219-1044,12 22 27.0,-11 01 03,0.926,18.4,0.,0.000,QSO radio quiet
PC 1219+4908,12 22 19.2,48 52 00,2.325,18.6,0.,0.000,QSO radio quiet
Q 1219+1350,12 22 26.5,13 34 18,1.529,18.1,0.,0.000,QSO radio quiet
Q 1219-1050,12 22 29.7,-11 07 10,1.623,19.1,0.,0.000,QSO radio quiet
Q 1219-1113,12 22 31.4,-11 30 07,2.105,18.5,0.,0.000,QSO radio quiet
Q 1220-1053,12 22 37.3,-11 10 30,2.864,20.4,0.,0.000,QSO radio quiet
SBS 1220+567,12 22 29.6,56 26 25,1.400,18.2,0.,0.000,QSO radio quiet
Q 1220-1101,12 22 45.6,-11 18 30,2.463,19.8,0.,0.000,QSO radio quiet
J09.04,12 23 10.6,-18 16 44,2.160,17.8,0.,0.000,QSO radio quiet
SBS 1220+559,12 23 00.2,55 40 01,0.905,17.2,0.,0.000,QSO radio quiet
R10.29,12 23 12.2,-15 44 07,0.441,18.4,158.,0.000,QSO radio loud
Q 1220+1006,12 23 12.1,09 50 19,0.276,17.5,0.,0.000,QSO radio quiet
B2 1220+37,12 23 11.2,37 07 02,0.489,18.3,169.,0.131,QSO radio loud steep
FBQS1223+29,12 23 13.3,29 08 24,1.120,17.3,0.,0.000,QSO radio quiet
Q 1220+0939,12 23 17.8,09 23 08,0.681,17.3,1.,0.053,QSO radio quiet
SBS 1220+544,12 23 10.8,54 09 38,0.156,15.9,133.,0.000,QSO radio loud steep
Q 1220+4748,12 23 14.0,47 32 06,0.103,19.8,0.,0.000,Galaxy unbarred
MARK   50,12 23 24.1,02 40 45,0.023,15.2,0.,0.647,Seyfert type 1
TOL 1220+051,12 23 27.2,04 50 23,0.018,17.1,0.,0.000,Galaxy unbarred
MS 12209+1601,12 23 30.8,15 45 08,0.081,15.9,0.,0.121,Seyfert type 1
1Jy1221-423,12 23 42.2,-42 35 29,0.171,18.0,1030.,0.000,Radio Galaxy
Q 1221+1745,12 23 34.9,17 28 42,1.354,18.3,11.,0.000,QSO radio loud
Q 1221-1046,12 23 48.0,-11 03 05,2.028,20.0,0.,0.000,QSO radio quiet
4C 18.34,12 23 46.2,18 21 07,1.401,18.7,161.,0.025,QSO radio loud steep
SBS 1221+545A,12 23 43.4,54 13 26,2.106,18.5,0.,0.000,QSO radio quiet
Q 1221-1055,12 23 55.0,-11 12 07,1.524,19.0,0.,0.000,QSO radio quiet
Q 1221+1634,12 23 52.3,16 17 50,1.483,18.3,0.,0.000,QSO radio quiet
Q 1221+4752,12 23 47.6,47 35 35,0.307,18.9,0.,0.000,Galaxy unbarred
1221+75W1,12 23 30.1,75 36 31,1.632,18.8,0.,0.011,QSO radio loud
1221.4+1431,12 23 57.7,14 14 42,2.297,19.9,0.,0.000,QSO radio quiet
Q 1221-1054,12 24 07.4,-11 10 41,0.431,20.0,0.,0.000,Galaxy unbarred
Q 1221+1718,12 24 04.2,17 01 57,1.407,18.0,0.,0.000,QSO radio quiet
Q 1221+4753,12 23 59.0,47 37 07,0.031,16.9,0.,0.000,Galaxy unbarred
MC 1221+114,12 24 19.8,11 07 23,1.758,18.9,148.,0.026,QSO radio loud flat
S51221+809,12 23 40.3,80 40 04,0.000,19.0,518.,0.000,BL Lac
S5 1221+809,12 23 40.4,80 40 04,0.000,19.0,520.,0.000,BL Lac
Q 1221-1104,12 24 27.8,-11 20 50,2.495,18.3,0.,0.000,QSO radio quiet
MS1221.8+2452,12 24 24.2,24 36 20,0.218,17.6,26.,0.197,BL Lac
Q 1222-1106,12 24 41.4,-11 23 26,2.171,20.2,0.,0.000,QSO radio quiet
Q 1222-1053,12 24 41.6,-11 09 60,0.748,18.4,0.,0.000,QSO radio quiet
Q 1222+1310,12 24 48.2,12 54 12,1.064,18.4,0.,0.000,QSO radio quiet
Q 1222+4754A,12 24 43.9,47 37 55,0.368,18.1,0.,0.007,Galaxy unbarred
Q 1222+1022,12 24 50.5,10 05 46,0.168,17.5,0.,0.083,Galaxy unbarred
SBS 1222+546,12 24 42.4,54 21 23,0.464,18.2,0.,0.000,QSO radio quiet
PKS 1222+037,12 24 52.3,03 30 50,0.960,18.8,860.,0.111,QSO radio loud flat
Q 1222+145,12 24 51.7,14 15 09,1.971,19.7,0.,0.000,QSO radio quiet
Q 1222+0928,12 24 56.0,09 12 13,1.470,18.0,0.,0.021,QSO radio quiet
PKS 1222+21,12 24 54.7,21 22 47,0.435,17.5,760.,0.366,QSO radio loud flat
Q 1222+1053,12 25 00.3,10 36 56,2.305,18.4,0.,0.000,QSO radio quiet
Q 1222+4752,12 24 54.8,47 36 20,3.193,19.8,0.,0.000,QSO radio quiet
M84,12 25 03.5,12 53 12,0.003,8.7,2725.,0.165,Radio Galaxy radio l
Q 1222+1640,12 25 03.2,16 24 05,0.549,17.5,0.,0.019,QSO radio quiet
1Jy1222+131,12 25 04.1,12 53 13,0.003,8.7,3090.,0.165,Radio Galaxy radio l
Q 1222+1433,12 25 11.2,14 17 09,1.337,17.3,0.,0.000,QSO radio quiet
Q 1222+1010,12 25 12.3,09 54 20,0.398,18.0,0.,0.129,QSO radio quiet
Q 1222+131,12 25 12.0,12 51 54,1.250,18.2,0.,0.000,QSO radio quiet
Q 1222+1235,12 25 12.9,12 18 36,0.415,17.0,50.,0.094,QSO radio loud
Q 1222+4754B,12 25 07.5,47 37 54,0.044,17.6,0.,0.000,Galaxy unbarred
UM 497,12 25 18.4,02 06 57,2.022,16.7,0.,0.000,QSO radio quiet
Q 1222+3755,12 25 14.3,37 38 36,0.072,17.4,0.,0.000,Galaxy unbarred
UM 498,12 25 20.6,-01 54 46,2.440,17.7,0.,0.000,QSO radio quiet
KP 1222.7+22.6,12 25 18.1,22 20 28,2.290,17.7,0.,0.067,QSO radio loud flat
Q 1222+0901,12 25 20.2,08 44 50,0.530,17.5,0.,0.021,QSO radio quiet
PGC 40503,12 25 21.2,04 21 16,0.076,16.4,0.,0.000,Seyfert type 1
1222+102,12 25 22.8,09 59 33,0.000,18.3,0.,0.000,BL Lac
KP 1222.8+22.8,12 25 23.7,22 31 28,1.870,18.7,0.,0.000,QSO radio quiet
NGC 4383,12 25 25.5,16 28 12,0.005,12.7,16.,0.000,Starburst galaxy
1222.9+1334,12 25 28.5,13 17 25,1.792,18.3,0.,0.000,QSO radio quiet
TON 1530,12 25 27.4,22 35 13,2.048,16.3,12.,0.000,QSO radio loud flat
Q 1222+1437,12 25 29.5,14 20 45,1.555,18.1,0.,0.000,QSO radio quiet
SBS 1223+565,12 25 28.6,56 16 21,1.289,18.7,0.,0.000,QSO radio quiet
Q 1223+1059,12 25 40.6,10 42 41,2.313,18.4,0.,0.000,QSO radio quiet
MARK   52,12 25 42.6,00 34 24,0.007,14.1,4.,0.000,Starburst galaxy
B2 1223+25,12 25 39.5,24 58 36,0.268,17.1,127.,0.169,QSO radio loud steep
Q 1223+4750,12 25 38.1,47 33 34,1.241,17.0,0.,0.007,QSO radio quiet
Q 1223-1046,12 25 49.5,-11 03 05,0.006,14.1,0.,0.000,Galaxy unbarred
NGC 4388,12 25 46.7,12 39 41,0.008,13.9,93.,0.064,QSO radio loud steep
Q 1223+123,12 25 47.1,12 04 15,2.170,18.5,0.,0.000,QSO radio quiet
Q 1223+1136,12 25 47.2,11 19 31,1.036,18.2,0.,0.000,QSO radio quiet
NGC 4395,12 25 48.9,33 32 49,0.001,10.1,1.,0.006,Seyfert type 1
NGC 4395 U1,12 25 49.0,33 32 54,0.770,18.9,0.,0.021,QSO radio loud
R10.30,12 25 57.9,-16 00 22,1.735,15.9,0.,0.000,QSO radio quiet
S4 1223+39,12 25 50.6,39 14 23,0.623,0.0,405.,0.000,QSO
NGC 4395 UB,12 25 53.0,33 32 54,1.265,18.4,0.,0.000,QSO radio quiet
NGC 4395 U3,12 25 53.0,33 32 54,1.677,18.4,0.,0.000,QSO radio quiet
NGC 4395 B6,12 25 53.0,33 32 54,1.038,18.1,0.,0.000,QSO radio quiet
Q 1223+1626,12 25 59.2,16 10 21,1.929,18.4,28.,0.000,QSO radio loud
Q 1223-1051A,12 26 06.5,-11 07 49,1.872,19.4,0.,0.000,QSO radio quiet
Q 1223-1113,12 26 07.1,-11 30 17,1.828,19.6,0.,0.000,QSO radio quiet
Q 1223-1051B,12 26 07.4,-11 07 60,0.381,18.8,0.,0.000,Galaxy unbarred
MS 12235+2522,12 26 03.6,25 06 13,0.067,16.7,0.,0.011,Seyfert type 1
Q 1223+1753,12 26 07.2,17 36 48,2.936,18.1,0.,0.000,QSO radio quiet
Q 1223+4747,12 26 07.0,47 31 21,0.070,17.4,0.,0.000,Galaxy unbarred
Q 1223+1226,12 26 15.0,12 09 26,0.874,18.2,0.,0.000,QSO radio quiet
Q 1223+1105,12 26 16.3,10 48 51,0.827,17.9,0.,0.000,QSO radio quiet
Q 1223-1109,12 26 25.8,-11 25 53,3.380,19.9,0.,0.000,QSO radio quiet
MARK 1325,12 26 28.0,09 01 15,0.025,16.5,130.,0.050,Liner
KP 1223.9+22.7,12 26 26.9,22 28 24,1.930,20.7,0.,0.000,QSO radio quiet
Q 1223+1723,12 26 30.0,17 06 41,2.402,19.0,0.,0.000,QSO radio quiet
Q 1224-1101,12 26 36.0,-11 18 19,2.565,19.6,0.,0.000,QSO radio quiet
HE 1224-0812,12 26 37.7,-08 29 30,2.136,16.5,0.,0.000,QSO radio quiet
Q 1224+1349,12 26 35.6,13 32 51,1.838,17.9,0.,0.000,QSO radio quiet
NGC 4418,12 26 54.7,-00 52 40,0.007,13.5,0.,0.000,Galaxy unbarred
Q 1224+3756,12 26 48.9,37 40 02,0.051,18.7,0.,0.000,Galaxy unbarred
Q 1224-1044,12 27 09.3,-11 01 18,0.086,19.8,0.,0.000,Galaxy unbarred
Q 1224-1107,12 27 10.5,-11 23 43,2.290,19.8,0.,0.000,QSO radio quiet
Q 1224-1056,12 27 10.6,-11 13 23,2.142,19.7,0.,0.000,QSO radio quiet
Q 1224-1054,12 27 12.0,-11 11 12,1.424,19.2,0.,0.000,QSO radio quiet
Q 1224+1604,12 27 09.4,15 48 14,0.533,18.4,0.,0.000,QSO radio quiet
Q 1224+1244,12 27 13.2,12 28 03,2.167,18.3,0.,0.000,QSO radio quiet
MS 12247+6733,12 26 57.9,67 17 08,0.153,17.0,0.,0.105,Seyfert type 1
2E 1224+0930,12 27 16.5,09 14 09,0.731,18.7,0.,0.037,QSO radio quiet
Q 1224-1113,12 27 22.7,-11 30 28,0.600,19.6,0.,0.000,QSO radio quiet
Q 1224-1116,12 27 24.9,-11 33 35,1.979,15.1,0.,0.000,QSO radio quiet
Q 1224+1538,12 27 24.3,15 21 42,1.771,18.2,0.,0.000,QSO radio quiet
SBS 1224+561,12 27 16.4,55 54 32,2.835,19.2,0.,0.000,QSO radio quiet
Q 1224+143,12 27 27.5,14 01 52,2.290,20.2,0.,0.000,QSO radio quiet
Q 1224-1104,12 27 31.1,-11 20 52,1.883,20.1,0.,0.000,QSO radio quiet
CSO  139,12 27 27.4,28 48 48,2.250,16.7,0.,0.000,QSO radio quiet
E 1225+317,12 27 30.4,31 29 53,0.083,16.0,0.,0.000,Galaxy unbarred
Q 1225-1048,12 27 38.2,-11 04 50,2.242,20.3,0.,0.000,QSO radio quiet
Q 1225+3758,12 27 32.2,37 41 57,1.370,17.3,0.,0.000,QSO radio quiet
NGC 4438,12 27 45.6,13 00 32,0.000,12.8,65.,0.056,Liner
2E 1225+0858,12 27 49.5,08 41 52,0.085,16.6,0.,0.000,Seyfert type 1
Q 1225+1502,12 27 56.5,14 46 18,0.856,17.4,0.,0.000,QSO radio quiet
UM 502,12 27 59.2,-02 03 04,2.880,17.7,0.,0.000,QSO radio quiet
S41225+368,12 27 58.6,36 35 11,1.975,21.5,767.,0.000,QSO radio loud steep
ON 343,12 27 58.8,36 35 12,1.975,21.2,767.,0.000,QSO radio loud steep
1225+206,12 28 11.3,20 23 48,0.000,18.0,434.,0.053,BL Lac
Q 1225-1116,12 28 18.0,-11 33 34,0.044,17.4,0.,0.000,Galaxy unbarred
Q 1225+0836,12 28 18.9,08 20 16,1.471,17.4,0.,0.000,QSO radio quiet
1225+75W1,12 27 52.6,75 20 41,0.000,18.8,0.,0.007,QSO radio loud
Q 1225+1512,12 28 22.2,14 55 54,1.990,18.4,0.,0.000,QSO radio quiet
R10.25,12 28 26.9,-14 04 13,2.260,18.9,0.,0.000,QSO radio quiet
B2 1225+31,12 28 24.8,31 28 38,2.219,15.9,330.,0.103,QSO radio loud flat
Q 1225+1120,12 28 29.3,11 03 54,0.168,17.1,0.,0.058,Galaxy unbarred
Q 1225+1610,12 28 29.0,15 54 22,2.237,18.4,0.,0.000,QSO radio quiet
NGC 4450,12 28 29.5,17 05 07,0.006,13.2,0.,0.180,Galaxy unbarred
Q 1225-1112,12 28 34.7,-11 28 47,1.649,19.7,0.,0.000,QSO radio quiet
Q 1226+1514,12 28 32.6,14 58 22,1.415,17.9,0.,0.000,QSO radio quiet
MC 1226+105,12 28 36.9,10 18 42,2.305,18.2,274.,0.000,QSO radio loud steep
Q 1226+1526,12 28 48.0,15 10 18,1.122,17.9,0.,0.000,QSO radio quiet
Q 1226+1644,12 28 55.7,16 27 54,1.295,18.0,0.,0.000,QSO radio quiet
Q 1226+1115,12 28 58.1,10 58 55,1.995,17.9,0.,0.000,QSO radio quiet
1226.4+1302,12 28 58.0,12 45 27,2.502,20.2,0.,0.000,QSO radio quiet
Q 1226-1106,12 29 01.6,-11 23 18,2.455,19.0,0.,0.000,QSO radio quiet
1Jy1226+023,12 29 06.6,02 03 08,0.158,12.8,40117.,17.223,QSO radio loud flat
3C273,12 29 06.6,02 03 08,0.158,12.8,40117.,17.223,QSO radio loud flat
3C 273.0,12 29 06.7,02 03 08,0.158,12.8,40117.,17.223,QSO radio loud flat
Q 1226-1105,12 29 12.4,-11 22 31,1.900,19.7,0.,0.000,QSO radio quiet
Q 1226+1639,12 29 09.6,16 22 38,2.245,18.3,0.,0.000,QSO radio quiet
Q 1226+126,12 29 26.6,12 23 06,2.279,19.1,0.,0.000,QSO radio quiet
2E 1226+1336,12 29 26.5,13 20 21,0.150,17.2,0.,0.063,Seyfert type 1
Q 1227+3756,12 29 29.4,37 39 46,0.254,19.8,0.,0.000,Galaxy unbarred
2E 1227+1403,12 29 34.0,13 46 30,0.100,17.4,0.,0.043,Seyfert type 1
RX J12297-3153,12 29 41.9,-31 54 09,0.054,17.0,0.,0.322,Seyfert type 1
HS 1227+4530,12 29 28.9,45 13 39,0.194,16.0,0.,0.158,QSO radio quiet
Q 1227+151,12 29 35.9,14 51 00,0.261,18.9,0.,0.000,Galaxy unbarred
Q 1227+120,12 29 42.6,11 49 17,2.458,19.7,0.,0.000,QSO radio quiet
Q 1227+3759,12 29 38.3,37 42 58,0.044,18.2,0.,0.000,Galaxy unbarred
1E 1227+024,12 29 53.3,02 08 06,0.570,19.2,0.,0.003,QSO radio quiet
Q 1227+1215,12 29 55.1,11 59 10,2.178,18.2,0.,0.000,QSO radio quiet
MC 1227+120,12 30 03.3,11 49 10,0.061,18.5,0.,0.000,Radio Galaxy radio l
FBQS1230+29,12 30 01.0,29 03 57,1.560,16.3,0.,0.000,QSO radio quiet
U 1227+120,12 30 06.4,11 48 27,0.800,18.9,0.,0.000,QSO radio quiet
12275+024,12 30 08.7,02 12 13,2.000,19.9,0.,0.000,QSO radio quiet
Q 1227-1051,12 30 11.4,-11 08 30,1.960,17.8,0.,0.000,QSO radio quiet
Q 1227-1105,12 30 15.0,-11 22 22,1.581,17.8,0.,0.000,QSO radio quiet
RXJ12302+2517,12 30 14.0,25 18 07,0.000,15.0,419.,0.317,BL Lac
KP 1227.8+07.4,12 30 22.7,07 10 11,3.000,20.2,0.,0.000,QSO radio quiet
J10.07,12 30 28.0,-19 12 24,0.000,16.2,0.,0.000,Seyfert type 1
Q 1227+3800,12 30 21.0,37 43 44,0.094,17.5,0.,0.000,Galaxy unbarred
Q 1227+4749,12 30 22.4,47 32 36,0.181,20.2,0.,0.000,Galaxy unbarred
KP 1228.0+07.8,12 30 34.2,07 33 05,1.813,17.5,0.,0.015,QSO radio quiet
Q 1228+1001,12 30 35.9,09 45 18,0.637,17.7,4.,0.000,QSO radio loud
PKS 1228-310,12 30 45.0,-31 21 24,2.276,20.1,270.,0.000,QSO radio loud flat
1E 1228+1642,12 30 38.1,16 25 41,0.839,17.2,0.,0.000,QSO radio quiet
RX J12303+6621,12 30 22.1,66 21 53,0.185,15.7,0.,0.000,Seyfert type 1
Q 1228-1048,12 30 51.5,-11 05 14,2.392,19.3,0.,0.000,QSO radio quiet
Q 1228-0130,12 30 51.0,-01 47 04,0.706,17.8,0.,0.077,QSO radio quiet
Vir A,12 30 49.3,12 23 27,0.004,8.7,11276.,3.893,Radio Galaxy radio l
1Jy1228+126,12 30 49.3,12 23 27,0.004,12.9,74890.,3.893,Radio Galaxy radio l
NGC 4486,12 30 49.5,12 23 28,0.004,8.7,11276.,3.893,Radio Galaxy radio l
Q 1228+1116,12 30 54.2,11 00 11,0.237,16.8,0.,0.086,QSO radio quiet
Q 1228+4642,12 30 48.6,46 25 37,0.040,18.0,0.,0.000,Galaxy unbarred
B3 1228+397,12 30 52.5,39 30 00,2.217,17.4,61.,0.000,QSO radio loud steep
Q 1228+1808,12 30 57.0,17 51 38,2.649,18.2,0.,0.000,QSO radio quiet
J10.17,12 31 06.9,-20 07 29,1.340,17.6,0.,0.000,QSO radio quiet
M 87.1524,12 31 02.2,12 27 57,2.230,20.8,0.,0.000,QSO radio quiet
KP 1228.5+07.6,12 31 08.5,07 24 24,1.878,18.6,0.,0.000,QSO radio quiet
3C,12 31 13.9,-02 17 04,0.274,18.4,0.,0.000,Galaxy unbarred
1E 12287+123,12 31 13.1,12 03 07,0.116,17.1,0.,0.215,Seyfert type 1
Q 1228+1216,12 31 16.5,12 00 24,1.408,17.8,0.,0.000,QSO radio quiet
KP 1228.7+07.7,12 31 20.6,07 25 53,2.391,17.6,40.,0.009,QSO radio loud steep
HE 1228-1637,12 31 24.8,-16 53 51,0.102,16.1,0.,0.537,Seyfert type 1
Q 1228+1738,12 31 21.1,17 21 49,0.403,18.4,0.,0.051,QSO radio quiet
1WGAJ1231.3+14,12 31 23.9,14 21 24,0.260,18.9,58.,0.389,BL Lac
Q 1228+1411,12 31 27.5,13 54 48,0.511,18.4,0.,0.057,QSO radio quiet
HE 1228-2504,12 31 33.9,-25 21 17,1.079,17.2,0.,0.000,QSO radio quiet
SBS 1229+557A,12 31 18.3,55 28 25,0.573,17.7,0.,0.000,QSO radio quiet
Q 1228+1602,12 31 29.1,15 46 10,0.511,17.3,0.,0.000,QSO radio quiet
Q 1229+0834,12 31 33.9,08 17 59,0.761,18.3,1.,0.000,QSO radio loud
KP 1229.0+07.8,12 31 35.8,07 34 42,1.930,20.2,0.,0.008,QSO radio quiet
Q 1229+1133,12 31 38.8,11 17 18,1.028,18.0,0.,0.000,QSO radio quiet
HE 1229-2623,12 31 46.9,-26 39 40,1.044,17.7,0.,0.000,QSO radio quiet
12292+116,12 31 44.4,11 21 15,1.800,19.4,0.,0.000,QSO radio quiet
B3 1229+405,12 31 40.0,40 17 30,0.649,18.7,117.,0.095,QSO radio loud steep
Q 1229+1414,12 31 46.8,13 57 28,2.875,18.1,0.,0.000,QSO radio quiet
MS1229.2+6430,12 31 31.7,64 14 16,0.164,16.9,42.,1.445,BL Lac
Q 1229+149,12 31 48.1,14 37 42,2.320,18.9,0.,0.000,QSO radio quiet
Q 1229+1531,12 31 50.4,15 14 47,2.263,18.4,0.,0.000,QSO radio quiet
Q 1229+117,12 31 54.0,11 29 17,2.230,19.8,0.,0.018,QSO radio quiet
1Jy1229-021,12 31 59.8,-02 24 05,1.045,16.8,1070.,0.095,QSO radio loud flat
Q 1229-1052,12 32 01.3,-11 09 15,1.904,19.8,0.,0.000,QSO radio quiet
PKS 1229-02,12 31 60.0,-02 24 05,1.045,16.8,1070.,0.095,QSO radio loud flat
SBS 1229+597,12 31 46.3,59 28 33,1.592,17.7,0.,0.000,QSO radio quiet
NGC 4501,12 31 59.5,14 25 17,0.007,13.2,89.,0.050,Seyfert type 2
1ES 1229+710,12 31 38.2,70 44 02,0.208,0.0,1.,0.705,Seyfert type 1
Q 1229+1711,12 32 04.1,16 55 22,0.209,18.3,0.,0.000,Galaxy unbarred
TON 1542,12 32 03.6,20 09 30,0.064,15.3,1.,1.237,Seyfert type 1
Q 1229+0106,12 32 09.7,00 50 15,0.477,17.7,0.,0.000,QSO radio quiet
KP 1229.6+07.8,12 32 10.3,07 33 44,1.510,19.7,0.,0.000,QSO radio quiet
