Name,RA(2000),DEC(2000),redsh,Vmag,Radio Fl,X Fl(mJ,Class
UM 202,00 07 27.1,02 41 12,0.300,18.0,2.,0.357,QSO radio loud steep
PB 5753,00 07 50.9,03 17 33,1.095,16.7,0.,0.000,QSO radio quiet
Q 0005+000,00 07 52.1,00 21 09,0.820,18.7,0.,0.000,QSO radio quiet
RXJ00079+4712,00 07 59.9,47 12 07,0.000,18.8,95.,0.140,BL Lac
PKS 0005-239,00 08 00.3,-23 39 18,1.410,16.5,599.,0.000,QSO radio loud flat
UM 203,00 08 07.6,00 16 18,1.490,19.2,0.,0.000,QSO radio quiet
Q 0005+026,00 08 09.2,02 56 31,1.640,18.2,0.,0.000,QSO radio quiet
Q 0005+012,00 08 10.7,01 31 29,0.320,18.5,0.,0.000,Galaxy unbarred
C16.06,00 08 14.6,-46 11 10,1.880,17.6,0.,0.000,QSO radio quiet
PB 5760,00 08 34.8,00 31 56,0.263,17.1,0.,0.000,QSO radio quiet
Q 0006-011B,00 08 38.6,-00 53 42,0.610,18.2,0.,0.000,QSO radio quiet
C16.07,00 08 37.5,-46 19 40,1.850,17.5,284.,0.000,QSO radio loud
PB 5763,00 08 48.0,-00 39 32,0.850,17.2,0.,0.000,QSO radio quiet
C16.08,00 08 46.0,-46 49 11,0.071,16.4,0.,0.158,Seyfert type 1
PKS 0006+014,00 08 53.2,01 43 14,1.302,18.6,87.,0.000,QSO radio loud flat
PB 5766,00 08 57.4,02 47 35,2.091,17.7,0.,0.000,QSO radio quiet
B2 0006+39,00 09 04.2,40 01 46,1.830,18.2,374.,0.000,QSO radio loud flat
Q 0006-010,00 09 03.7,-00 43 38,1.250,18.2,0.,0.000,QSO radio quiet
Q 0006-011C,00 09 04.9,-00 50 47,0.840,17.7,0.,0.000,QSO radio quiet
Q 0006+022A,00 09 15.7,02 29 56,1.515,17.7,0.,0.000,QSO radio quiet
C16.09,00 09 27.2,-47 03 16,1.990,17.9,0.,0.000,QSO radio quiet
PB 5769,00 09 31.4,02 17 06,2.348,17.6,0.,0.000,QSO radio quiet
Q 0007+0217,00 09 39.8,02 34 18,0.038,19.5,0.,0.000,Galaxy unbarred
MS 00071-0231,00 09 39.6,-02 14 38,0.087,16.3,1.,0.190,Seyfert type 1
PB 5773,00 09 45.5,00 13 36,0.698,18.1,0.,0.000,QSO radio quiet
PB 5774,00 09 52.7,01 58 48,1.765,18.0,0.,0.000,QSO radio quiet
PKS 0007+016,00 09 58.7,01 57 54,2.948,19.3,107.,0.000,QSO radio loud steep
Q 0007-4044,00 10 05.0,-40 26 46,2.470,18.8,0.,0.000,QSO radio quiet
E 0007-114,00 10 07.6,-11 12 23,0.456,19.6,0.,0.011,Galaxy unbarred
Q 0007+019,00 10 09.1,02 10 55,0.770,17.7,0.,0.000,QSO radio quiet
MARK  937,00 10 10.1,-04 42 38,0.030,12.9,0.,0.552,Seyfert type 2
Q 0007-353,00 10 12.4,-35 04 26,2.030,18.0,0.,0.000,QSO radio quiet
Q 0007-4239,00 10 13.6,-42 22 52,2.670,18.0,0.,0.000,QSO radio quiet
UM 208,00 10 16.5,00 12 27,2.310,18.7,0.,0.000,QSO radio quiet
Q 0007+0236,00 10 19.5,02 53 38,0.588,18.1,0.,0.000,QSO radio quiet
Q 0007+022B,00 10 21.2,02 30 54,0.340,17.7,0.,0.000,QSO radio quiet
MS 00078-3543,00 10 21.1,-35 26 19,0.093,16.0,0.,0.049,Seyfert type 1
B2 0007+33,00 10 25.6,33 29 37,0.743,18.7,150.,0.000,QSO radio loud steep
Q 0007+017B,00 10 24.8,02 01 05,0.390,18.2,0.,0.000,QSO radio quiet
UM 209,00 10 27.4,-01 25 50,1.537,18.1,0.,0.000,QSO radio quiet
III ZW  2,00 10 31.0,10 58 28,0.090,15.4,420.,1.071,QSO radio loud flat
PKS 0008+171,00 10 34.0,17 24 19,1.601,17.7,1190.,0.102,QSO radio loud flat
UM 210,00 10 51.0,-00 31 35,2.090,19.1,0.,0.000,QSO radio quiet
PB 5781,00 10 54.3,02 35 36,1.994,18.5,0.,0.000,QSO radio quiet
Q 0008-0001,00 10 54.9,00 14 50,0.243,17.9,0.,0.000,QSO radio quiet
0008-42,00 10 52.4,-41 53 09,0.000,0.0,1309.,0.000,unidentified
1Jy0008-421,00 10 52.5,-41 53 10,0.000,0.0,1230.,0.000,unidentified
